P	P.JF.C	P.SC	P.JF	Control
macrolide-lincosamide-streptogramin__vatG	multidrug__acrB	multidrug__adeJ	multidrug__mexE	multidrug__mexI
macrolide-lincosamide-streptogramin__vgaD	multidrug__acrF	multidrug__amrB	multidrug__mexF	multidrug__mexT
multidrug__acrA	multidrug__adeB	multidrug__bpeF	multidrug__mexI	multidrug__mexW
multidrug__acrB	multidrug__adeC	multidrug__ceoB	multidrug__mexT	multidrug__mexY
multidrug__acrF	multidrug__adeJ	multidrug__cmeB	multidrug__mexW	multidrug__multidrug_transporter
multidrug__adeJ	multidrug__amrB	multidrug__mdtC	multidrug__mexY	multidrug__ompR
multidrug__amrB	multidrug__bpeF	multidrug__mdtF	multidrug__multidrug_transporter	multidrug__oprC
multidrug__bpeF	multidrug__ceoB	multidrug__mdtK	multidrug__ompR	multidrug__oprN
multidrug__ceoB	multidrug__cmeB	multidrug__mdtN	multidrug__oprC	multidrug__smeD
multidrug__cmeB	multidrug__emrE	multidrug__mexB	multidrug__oprM	multidrug__smeE
multidrug__emrB	multidrug__mdtB	multidrug__mexC	multidrug__oprN	polymyxin__arnA
multidrug__mdtB	multidrug__mdtC	multidrug__mexD	multidrug__sdeY	sulfonamide__sul2
multidrug__mdtC	multidrug__mdtF	multidrug__mexE	multidrug__smeB	tetracycline__otrA
multidrug__mdtF	multidrug__mdtK	multidrug__mexF	multidrug__smeD	tetracycline__tet34
multidrug__mdtK	multidrug__mdtL	multidrug__mexI	multidrug__smeE	tetracycline__tet35
multidrug__mdtL	multidrug__mexA	multidrug__mexT	polymyxin__arnA	tetracycline__tet36
multidrug__mexB	multidrug__mexB	multidrug__mexW	rifamycin__arr	tetracycline__tet40
multidrug__mexC	multidrug__mexC	multidrug__mexY	rifamycin__rifampin monooxygenase	tetracycline__tet41
multidrug__mexD	multidrug__mexD	multidrug__mtrE	sulfonamide__sul1	tetracycline__tetA
multidrug__mexE	multidrug__mexE	multidrug__multidrug_transporter	sulfonamide__sul2	tetracycline__tetM
multidrug__mexF	multidrug__mexF	multidrug__ompR	sulfonamide__sul3	tetracycline__tetO
multidrug__mexI	multidrug__mexI	multidrug__oprC	tetracycline__tet34	tetracycline__tetP
multidrug__mexT	multidrug__mexT	multidrug__smeB	tetracycline__tet35	tetracycline__tetQ
multidrug__mexW	multidrug__mexW	multidrug__smeE	tetracycline__tet39	tetracycline__tetracycline_resistance_protein
multidrug__mexX	multidrug__mexX	multidrug__TolC	tetracycline__tet40	tetracycline__tetS
multidrug__mexY	multidrug__mexY	polymyxin__arnA	tetracycline__tet41	tetracycline__tetT
multidrug__ABC_transporter	multidrug__mtrE	quinolone__qnrS	tetracycline__tetM	trimethoprim__dfrA15
multidrug__multidrug_transporter	multidrug__ABC_transporter	rifamycin__arr	tetracycline__tetO	trimethoprim__dfrA16
multidrug__ompR	multidrug__multidrug_transporter	sulfonamide__sul1	tetracycline__tetP	trimethoprim__dfrA17
multidrug__oprA	multidrug__ompR	sulfonamide__sul2	tetracycline__tetR	unclassified__ArlR
multidrug__oprC	multidrug__opcM	tetracycline__tet34	tetracycline__tetracycline_resistance_protein	unclassified__cAMP-regulatory protein
multidrug__oprJ	multidrug__oprA	tetracycline__tet35	tetracycline__tetT	unclassified__cpxR
multidrug__oprM	multidrug__oprC	tetracycline__tet39	tetracycline__tetW	unclassified__histidine kinase
multidrug__sdeY	multidrug__sdeY	tetracycline__tet40	tetracycline__tetX	vancomycin__vanA
multidrug__smeB	multidrug__smeB	tetracycline__tetC	trimethoprim__dfrA1	vancomycin__vanC
multidrug__smeD	multidrug__smeD	tetracycline__tetD	trimethoprim__dfrA14	vancomycin__vanH
multidrug__smeE	multidrug__smeE	tetracycline__tetG	trimethoprim__dfrA15	vancomycin__vanR
multidrug__TolC	multidrug__TolC	tetracycline__tetO	trimethoprim__dfrA16	
polymyxin__arnA	polymyxin__arnA	tetracycline__tetP	trimethoprim__dfrA17	
quinolone__mfpA	quinolone__qepA	tetracycline__tetS	trimethoprim__dfrA22	
quinolone__qepA	quinolone__qnrA	tetracycline__tetT	unclassified__ArlR	
quinolone__qnrA	quinolone__qnrS	tetracycline__tetW	unclassified__cAMP-regulatory protein	
quinolone__qnrS	rifamycin__arr	tetracycline__tetX	unclassified__cpxR	
rifamycin__arr	sulfonamide__sul1	trimethoprim__dfrA14	unclassified__histidine kinase	
sulfonamide__sul1	sulfonamide__sul2	trimethoprim__dfrA16	unclassified__H-NS	
sulfonamide__sul2	tetracycline__tet34	trimethoprim__dfrA17	vancomycin__vanA	
tetracycline__otrA	tetracycline__tet35	unclassified__ArlR	vancomycin__vanC	
tetracycline__tet34	tetracycline__tet36	unclassified__cAMP-regulatory protein	vancomycin__vanR	
tetracycline__tet35	tetracycline__tet39	unclassified__cpxR	vancomycin__vanS	
tetracycline__tet36	tetracycline__tet40	unclassified__histidine kinase		
tetracycline__tet39	tetracycline__tet41	unclassified__H-NS		
tetracycline__tet40	tetracycline__tetA	vancomycin__vanC		
tetracycline__tet41	tetracycline__tetG	vancomycin__vanR		
tetracycline__tetA	tetracycline__tetM			
tetracycline__tetC	tetracycline__tetP			
tetracycline__tetG	tetracycline__tetQ			
tetracycline__tetM	tetracycline__tetR			
tetracycline__tetP	tetracycline__tetracycline_resistance_protein			
tetracycline__tetQ	tetracycline__tetT			
tetracycline__tetR	trimethoprim__dfrA14			
tetracycline__tetracycline_resistance_protein	trimethoprim__dfrA15			
tetracycline__tetS	trimethoprim__dfrA16			
tetracycline__tetT	trimethoprim__dfrA20			
tetracycline__tetW	trimethoprim__dfrA22			
trimethoprim__dfrA15	trimethoprim__dfrB2			
trimethoprim__dfrA16	trimethoprim__dfrB3			
trimethoprim__dfrA20	unclassified__cAMP-regulatory protein			
trimethoprim__dfrA5	unclassified__histidine kinase			
unclassified__cAMP-regulatory protein	unclassified__cpxR			
unclassified__H-NS	unclassified__ArlR			
unclassified__histidine kinase	vancomycin__vanR			
unclassified__cpxR	vancomycin__vanS			
unclassified__ArlR				
vancomycin__vanB				
vancomycin__vanC				
vancomycin__vanD				
vancomycin__vanR				
vancomycin__vanS				
